0,1
Datasets/IAM_Words/words/a01/a01-000u/a01-000u-04-03.png,resolution
Datasets/IAM_Words/words/a01/a01-007/a01-007-01-04.png,.
Datasets/IAM_Words/words/a01/a01-007u/a01-007u-02-01.png,would
Datasets/IAM_Words/words/a01/a01-014x/a01-014x-06-00.png,to
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-07-08.png,Premier
Datasets/IAM_Words/words/a01/a01-007/a01-007-07-00.png,get
Datasets/IAM_Words/words/a01/a01-003/a01-003-08-04.png,not
Datasets/IAM_Words/words/a01/a01-000x/a01-000x-03-03.png,down
Datasets/IAM_Words/words/a01/a01-003u/a01-003u-09-04.png,take
Datasets/IAM_Words/words/a01/a01-011/a01-011-06-10.png,change
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-07-05.png,","
Datasets/IAM_Words/words/a01/a01-014/a01-014-01-03.png,on
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-06-05.png,together
Datasets/IAM_Words/words/a01/a01-007/a01-007-08-01.png,Welensky
Datasets/IAM_Words/words/a01/a01-000x/a01-000x-01-00.png,any
Datasets/IAM_Words/words/a01/a01-007u/a01-007u-03-08.png,it
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-04-07.png,THE
Datasets/IAM_Words/words/a01/a01-000u/a01-000u-06-04.png,Manchester
Datasets/IAM_Words/words/a01/a01-003x/a01-003x-01-04.png,Ps
Datasets/IAM_Words/words/a01/a01-000x/a01-000x-04-04.png,be
Datasets/IAM_Words/words/a01/a01-011u/a01-011u-02-03.png,)
Datasets/IAM_Words/words/a01/a01-014u/a01-014u-05-03.png,chief
Datasets/IAM_Words/words/a01/a01-007u/a01-007u-01-00.png,Peeresses
Datasets/IAM_Words/words/a01/a01-007/a01-007-04-00.png,Labour
Datasets/IAM_Words/words/a01/a01-014x/a01-014x-00-05.png,is
Datasets/IAM_Words/words/a01/a01-014x/a01-014x-05-08.png,bound
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-02-05.png,of
Datasets/IAM_Words/words/a01/a01-011u/a01-011u-08-04.png,Iain
Datasets/IAM_Words/words/a01/a01-003/a01-003-05-01.png,peers
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-01-07.png,sentiment
Datasets/IAM_Words/words/a01/a01-003x/a01-003x-06-05.png,should
Datasets/IAM_Words/words/a01/a01-014u/a01-014u-01-03.png,talks
Datasets/IAM_Words/words/a01/a01-014x/a01-014x-02-05.png,last
Datasets/IAM_Words/words/a01/a01-011/a01-011-00-05.png,United
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-00-04.png,Labour
Datasets/IAM_Words/words/a01/a01-014x/a01-014x-01-03.png,on
Datasets/IAM_Words/words/a01/a01-000x/a01-000x-04-00.png,and
Datasets/IAM_Words/words/a01/a01-007u/a01-007u-07-05.png,to
Datasets/IAM_Words/words/a01/a01-000x/a01-000x-02-01.png,of
Datasets/IAM_Words/words/a01/a01-003u/a01-003u-05-05.png,peers
Datasets/IAM_Words/words/a01/a01-000x/a01-000x-01-05.png,is
Datasets/IAM_Words/words/a01/a01-007/a01-007-04-05.png,adequate
Datasets/IAM_Words/words/a01/a01-007x/a01-007x-06-04.png,get
Datasets/IAM_Words/words/a01/a01-014x/a01-014x-02-02.png,Said
Datasets/IAM_Words/words/a01/a01-003u/a01-003u-10-03.png,to
Datasets/IAM_Words/words/a01/a01-000x/a01-000x-04-06.png,by
Datasets/IAM_Words/words/a01/a01-000u/a01-000u-01-02.png,more
Datasets/IAM_Words/words/a01/a01-003u/a01-003u-07-02.png,.
Datasets/IAM_Words/words/a01/a01-011/a01-011-04-04.png,getting
Datasets/IAM_Words/words/a01/a01-003u/a01-003u-05-04.png,life
